iter	Passed	Remaining
0	4	4127
1	5	2751
2	7	2576
3	10	2516
4	11	2278
5	12	2072
6	13	1952
7	16	2000
8	17	1912
9	18	1857
10	19	1770
11	20	1702
12	21	1657
13	22	1604
14	23	1549
15	24	1504
16	25	1461
17	26	1421
18	27	1445
19	29	1421
20	30	1414
21	31	1407
22	32	1396
23	33	1378
24	34	1354
25	35	1341
26	36	1323
27	37	1303
28	38	1289
29	39	1279
30	41	1297
31	42	1284
32	43	1274
33	44	1271
34	45	1267
35	47	1267
36	48	1257
37	49	1249
38	50	1246
39	51	1239
40	52	1233
41	53	1228
42	55	1228
43	56	1226
44	57	1219
45	60	1249
46	61	1244
47	62	1238
48	63	1229
49	64	1220
50	65	1217
51	66	1208
52	68	1216
53	70	1226
54	71	1221
55	71	1213
56	73	1208
57	74	1208
58	75	1203
59	76	1204
60	77	1198
61	79	1196
62	80	1195
63	81	1192
64	82	1187
65	83	1181
66	84	1174
67	85	1170
68	86	1168
69	88	1169
70	89	1172
71	90	1167
72	91	1166
73	92	1161
74	94	1163
75	95	1163
76	96	1161
77	98	1165
78	100	1173
79	101	1172
80	103	1169
81	104	1166
82	105	1164
83	106	1162
84	107	1157
85	108	1158
86	110	1158
87	111	1155
88	112	1152
89	113	1148
90	114	1147
91	116	1145
92	117	1150
93	119	1155
94	121	1155
95	122	1152
96	124	1154
97	125	1151
98	126	1151
99	127	1151
100	129	1154
101	130	1151
102	131	1146
103	133	1150
104	134	1149
105	136	1148
106	137	1147
107	138	1144
108	139	1140
109	140	1136
110	141	1129
111	141	1124
112	142	1120
113	144	1119
114	145	1116
115	146	1113
116	147	1114
117	148	1111
118	149	1107
119	150	1103
120	151	1101
121	152	1099
122	153	1096
123	154	1091
124	155	1087
125	156	1085
126	157	1082
127	159	1085
128	160	1083
129	161	1082
130	162	1080
131	164	1079
132	165	1076
133	165	1072
134	166	1069
135	168	1070
136	169	1067
137	171	1070
138	172	1069
139	174	1070
140	175	1067
141	176	1065
142	177	1063
143	178	1060
144	179	1060
145	180	1058
146	181	1055
147	182	1052
148	183	1049
149	185	1053
150	187	1055
151	189	1055
152	190	1053
153	191	1052
154	192	1049
155	193	1047
156	194	1044
157	195	1041
158	196	1038
159	197	1038
160	200	1045
161	201	1042
162	202	1039
163	203	1037
164	204	1034
165	205	1032
166	206	1030
167	207	1028
168	208	1027
169	210	1026
170	211	1023
171	212	1021
172	213	1018
173	213	1015
174	215	1014
175	216	1011
176	217	1011
177	218	1011
178	219	1008
179	220	1006
180	222	1004
181	223	1002
182	224	1000
183	225	999
184	226	999
185	228	999
186	230	1000
187	231	998
188	231	995
189	233	993
190	234	991
191	235	990
192	236	987
193	237	984
194	237	982
195	239	981
196	240	979
197	241	977
198	242	975
199	243	972
200	243	969
201	244	967
202	245	965
203	246	963
204	247	961
205	248	958
206	249	956
207	250	954
208	251	953
209	252	951
210	253	948
211	254	946
212	255	944
213	256	943
214	257	941
215	258	938
216	260	939
217	261	937
218	262	937
219	263	934
220	265	934
221	265	932
222	266	929
223	267	928
224	269	926
225	270	924
226	271	924
227	272	924
228	274	923
229	275	921
230	276	921
231	277	918
232	278	916
233	279	914
234	280	913
235	281	911
236	282	909
237	283	907
238	284	905
239	285	902
240	286	901
241	287	900
242	288	899
243	289	898
244	290	895
245	293	899
246	295	899
247	296	897
248	297	895
249	298	896
250	299	894
251	301	894
252	302	892
253	303	890
254	304	890
255	305	888
256	306	887
257	307	885
258	308	883
259	309	881
260	310	880
261	312	880
262	313	878
263	314	877
264	315	875
265	316	874
266	319	876
267	320	876
268	323	878
269	324	876
270	325	874
271	326	872
272	326	870
273	329	872
274	330	872
275	332	871
276	333	869
277	334	868
278	335	867
279	336	865
280	337	863
281	338	861
282	339	859
283	340	858
284	342	859
285	343	857
286	344	856
287	346	856
288	347	854
289	348	852
290	349	851
291	350	849
292	352	850
293	353	848
294	354	847
295	355	845
296	356	843
297	358	843
298	359	842
299	360	841
300	361	840
301	362	838
302	363	837
303	365	836
304	366	834
305	366	832
306	367	830
307	368	828
308	369	827
309	371	826
310	372	825
311	373	824
312	374	822
313	375	821
314	376	819
315	377	817
316	378	816
317	379	814
318	381	813
319	382	811
320	383	812
321	385	811
322	386	810
323	387	808
324	388	807
325	389	805
326	390	803
327	391	802
328	392	801
329	394	800
330	394	798
331	395	796
332	397	795
333	398	794
334	399	793
335	401	793
336	402	792
337	404	791
338	405	791
339	406	789
340	407	787
341	410	788
342	411	787
343	412	787
344	414	786
345	415	785
346	416	784
347	417	782
348	418	780
349	419	779
350	420	777
351	421	776
352	422	774
353	423	773
354	424	771
355	425	769
