iter	RMSE
0	14.98925977
1	14.58771903
2	14.19139496
3	13.82672573
4	13.48687152
5	13.15582662
6	12.82490895
7	12.53711179
8	12.22640288
9	11.92509175
10	11.64841472
11	11.39134916
12	11.117307
13	10.87239675
14	10.62673275
15	10.39299525
16	10.17825235
17	9.962534111
18	9.759756797
19	9.570310258
20	9.401087647
21	9.249909451
22	9.079206082
23	8.91480567
24	8.759564646
25	8.60892997
26	8.465091162
27	8.336654381
28	8.207091093
29	8.091059192
30	7.983619172
31	7.865141154
32	7.762510528
33	7.670006967
34	7.574215156
35	7.483215019
36	7.387266731
37	7.304445178
38	7.219478955
39	7.136494601
40	7.076301495
41	7.015873089
42	6.938346514
43	6.877592728
44	6.817535179
45	6.759705147
46	6.690952004
47	6.635917719
48	6.575411111
49	6.527821668
50	6.481172325
51	6.437567331
52	6.390266726
53	6.344570876
54	6.300438852
55	6.260406245
56	6.221243471
57	6.186251234
58	6.150578753
59	6.113771719
60	6.07811165
61	6.044632392
62	6.00606859
63	5.972958221
64	5.945530855
65	5.916868624
66	5.887763471
67	5.857576567
68	5.834914999
69	5.810492003
70	5.790423597
71	5.77290077
72	5.752737482
73	5.734617594
74	5.715693041
75	5.691652162
76	5.674656831
77	5.656310375
78	5.641444039
79	5.623799886
80	5.61737541
81	5.600071372
82	5.586582782
83	5.572111214
84	5.561280878
85	5.545436485
86	5.536777307
87	5.520624966
88	5.506746551
89	5.493180762
90	5.484602831
91	5.47550692
92	5.465506296
93	5.457918885
94	5.44932188
95	5.439336059
96	5.427005221
97	5.415329209
98	5.408272919
99	5.394934465
100	5.385696777
101	5.373326424
102	5.361845334
103	5.349242061
104	5.341954621
105	5.334615566
106	5.326388534
107	5.317936508
108	5.311449114
109	5.301587614
110	5.298775679
111	5.28997218
112	5.281730922
113	5.273548741
114	5.267597649
115	5.260440205
116	5.254528887
117	5.251439722
118	5.248110605
119	5.239275256
120	5.231289814
121	5.224583207
122	5.217358639
123	5.210742878
124	5.20599525
125	5.199977938
126	5.196719749
127	5.191675217
128	5.186102135
129	5.182282059
130	5.176387008
131	5.170223799
132	5.163422712
133	5.155565192
134	5.149526412
135	5.143920882
136	5.139211097
137	5.136908037
138	5.132882412
139	5.127921217
140	5.122667301
141	5.119763458
142	5.114904441
143	5.111664485
144	5.106534214
145	5.104417349
146	5.100636949
147	5.095278268
148	5.09041167
149	5.087457667
150	5.08472542
151	5.080815066
152	5.076836389
153	5.07476262
154	5.070733891
155	5.06449496
156	5.055572323
157	5.052778744
158	5.050022977
159	5.047426385
160	5.042428055
161	5.037043163
162	5.03392167
163	5.032107242
164	5.030729963
165	5.02982946
166	5.024821975
167	5.021437478
168	5.016154702
169	5.01270118
170	5.008404165
171	5.003474848
172	4.998537556
173	4.995997265
174	4.993340868
175	4.991440951
176	4.987064432
177	4.985995185
178	4.979494066
179	4.978270654
